overview,director,poster_path,release_date,runtime,title,genres
"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene.",John Lasseter,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-10-30,81,Toy Story,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]"
"When siblings Judy and Peter discover an enchanted board game, they unwittingly invite Alan into their living room.",Joe Johnston,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,104,Jumanji,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]"
"A man with a low IQ has accomplished great things in his life.",Robert Zemeckis,/9wlYJy01XgvIhdf651FgyJkau07.jpg,1994-07-06,142,Forrest Gump,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
"Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",Robert De Niro,/wlYIwDwk53R4h0uMnpK1NAhHqdg.jpg,1993-09-14,121,A Bronx Tale,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",Brian De Palma,/tGPqPHuOCbyFxwllrYgKkPDu9xB.jpg,1993-11-10,144,Carlito's Way,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",Michael Mann,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995-12-15,170,Heat,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",James Cameron,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg,2009-12-10,162,Avatar,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
"Meet Clutch Powers, the best builder and explorer in the LEGO universe as he heads off on his most dangerous mission yet. Join Clutch and his team of experts as their adventure leads them from City to the Space Police prison planet to the medieval world of Ashlar where they must help the rightful heir to the King’s throne find the courage to regain the kingdom from the evil wizard Malign.",Howard E. Baker,/6mvmJLcUZRQ84YWprz7NS8QhV94.jpg,2010-01-01,81,LEGO: The Adventures of Clutch Powers,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]"
"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,/848chlIWVT41VtAAgyh9bWymAYb.jpg,2008-04-30,126,Iron Man,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]"
"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",Pierre Morel,/3zlffXmo7QpVBc17QIJWrRfasVr.jpg,2008-02-18,93,Taken,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
